Keyword,SaaS Ratio,SaaS Count,Service Count,Status,Top Result
"Motive to QuickBooks integration","100.0%",10,0,"HIGH OPPORTUNITY (Intent Mismatch)","The Ultimate Guide to QuickBooks Integration"
"CargoWise to SAP S/4HANA integration","90.0%",9,1,"HIGH OPPORTUNITY (Intent Mismatch)","Calsoft Systems | CargoWise"
"Magaya to QuickBooks integration","100.0%",10,0,"HIGH OPPORTUNITY (Intent Mismatch)","Accounting Automation: QuickBooks Online Integration | Magaya"
"CargoWise to NetSuite integration","90.0%",9,1,"HIGH OPPORTUNITY (Intent Mismatch)","Open Road Transportation – NetSuite to CargoWise Custom Connector - Seibert Consulting LLC (SCG)"
"MercuryGate to NetSuite integration","100.0%",10,0,"HIGH OPPORTUNITY (Intent Mismatch)","SuiteApp.com"
"SAP TM to SAP S/4HANA integration","60.0%",6,4,"MEDIUM COMPETITION","Moving SAP TM from SAP Business Suite to SAP S/4HANA"
"Oracle OTM to Oracle ERP integration","100.0%",10,0,"HIGH OPPORTUNITY (Intent Mismatch)","Oracle Transportation Management (OTM) | Redwood Logistics"
"Blue Yonder to SAP S/4HANA integration","70.0%",7,3,"HIGH OPPORTUNITY (Intent Mismatch)","Blue Yonder FAQ: AI-Driven Supply Chain, Planning & Fulfillment Answers"
"Descartes to SAP S/4HANA integration","70.0%",7,3,"HIGH OPPORTUNITY (Intent Mismatch)","Le passage à SAP S/4HANA tout en conservant votre intégration EDI | Descartes"
"Koerber WMS to Dynamics 365 integration","70.0%",7,3,"HIGH OPPORTUNITY (Intent Mismatch)","Körber | Business Solutions | MaxQ Technologies"
"ShipStation to NetSuite integration","100.0%",10,0,"HIGH OPPORTUNITY (Intent Mismatch)","NetSuite Shipping and Tracking Integration - ShipStation Partner"
"Samsara to NetSuite integration","90.0%",9,1,"HIGH OPPORTUNITY (Intent Mismatch)","NetSuite and Samsara integration + automation"
"Flexport to NetSuite integration","50.0%",5,5,"MEDIUM COMPETITION","How do I connect Netsuite to Flexport? – Flexport Help Center"
"GoFreight to QuickBooks integration","80.0%",8,2,"HIGH OPPORTUNITY (Intent Mismatch)","GoFreight QuickBooks Accounting Integration: Getting Started User Guide – GoFreight Knowledge Center"
"Fishbowl to QuickBooks integration","80.0%",8,2,"HIGH OPPORTUNITY (Intent Mismatch)","Fishbowl & QuickBooks Integration For Inventory Management"
"EDI to NetSuite integration","100.0%",10,0,"HIGH OPPORTUNITY (Intent Mismatch)","NetSuite EDI Integration | NetSuite EDI Partners with SPS"
"EDI to QuickBooks integration","80.0%",8,2,"HIGH OPPORTUNITY (Intent Mismatch)","TrueCommerce EDI for QuickBooks Online - Intuit"
"Customs Clearance Services","30.0%",3,7,"HIGH COMPETITION (Service Heavy)","Customs Broker | USA Customs Clearance | Import Broker | Clearit USA"
"Freight Forwarding Services","10.0%",1,9,"HIGH COMPETITION (Service Heavy)","Freight Forwarding Services | UPS Supply Chain Solutions - United States"
"Commercial Invoice Processing","60.0%",6,4,"MEDIUM COMPETITION","Commercial Invoices (2026): Best Practices for Fast, Compliant Global Trade"
"HS code tariff classification services","20.0%",2,8,"HIGH COMPETITION (Service Heavy)","Harmonized System (HS) Codes"
"Trade Compliance Services","10.0%",1,9,"HIGH COMPETITION (Service Heavy)","Trade Compliance Solutions | Global 4PL Trade Experts"
"Cargo Insurance Documentation","10.0%",1,9,"HIGH COMPETITION (Service Heavy)","Insurance Requirements for Transportation Service Providers | FEMA.gov"
"Hazardous materials documentation services","0.0%",0,10,"HIGH COMPETITION (Service Heavy)","HMIRS - Hazardous Materials Information Resource System"
"HS code classification consulting","30.0%",3,7,"HIGH COMPETITION (Service Heavy)","HS Classification Tool - GlobalPost"